time,kidmap
1991-12-10,40246.0
1991-12-11,40246.0
1991-12-12,40272.0
1991-12-13,40272.0
1991-12-14,40272.0
1991-12-15,40272.0
1991-12-16,40272.0
1991-12-17,40272.0
1991-12-21,40353.0
1991-12-24,40382.0
1991-12-25,40386.0
1991-12-26,40386.0
1991-12-27,40386.0
1992-01-01,40437.0
1992-01-02,40437.0
1992-01-03,40437.0
1992-01-04,40437.0
1992-01-05,40437.0
1992-01-06,40480.0
1992-01-07,40480.0
1992-01-17,40556.0
1992-01-18,40556.0
1992-01-19,40556.0
1992-01-22,40590.0
1992-01-23,40590.0
1992-01-24,40590.0
1992-01-25,40590.0
1992-01-26,40590.0
1992-01-27,40590.0
1992-01-28,40590.0
1992-01-29,40590.0
1992-01-30,40590.0
1992-01-31,40657.0
1992-02-01,40657.0
1992-02-04,40681.0
1992-02-05,40704.0
1992-02-06,40704.0
1992-02-10,40755.0
1992-02-11,40755.0
1992-02-12,40755.0
1992-02-18,40832.0
1992-02-24,40857.0
1992-02-25,40857.0
1992-02-26,40857.0
1992-02-27,40857.0
1992-02-28,40916.0
1992-03-02,40930.0
1992-03-03,40930.0
1992-03-04,40954.0
1992-03-10,40998.0
1992-03-11,40998.0
1992-03-12,41006.0
1992-03-13,41006.0
1992-03-14,41033.0
1992-03-15,41030.0
1992-03-16,41030.0
1992-03-17,41030.0
1992-03-18,41030.0
1992-03-19,41030.0
1992-03-20,41063.0
1992-03-21,41069.0
1992-03-22,41083.0
1992-03-23,41085.0
1992-03-24,41085.0
1992-03-25,41085.0
1992-03-26,41104.0
1992-03-27,41104.0
1992-03-28,41104.0
1992-03-29,41129.0
1992-03-30,41133.0
1992-03-31,41136.0
1992-04-01,41136.0
1992-04-03,41176.0
1992-04-04,41176.0
1992-04-05,41176.0
1992-04-07,41176.0
1992-04-15,41253.0
1992-04-16,41276.0
1992-04-18,41294.0
1992-04-19,41298.0
1992-04-20,41298.0
1992-04-21,41298.0
1992-04-25,41333.0
1992-04-26,41333.0
1992-04-27,41333.0
1992-04-28,41367.0
1992-04-29,41367.0
1992-05-01,41386.0
1992-05-05,41432.0
1992-05-07,41444.0
1992-05-09,41457.0
1992-05-10,41457.0
1992-05-11,41454.0
1992-05-12,41478.0
1992-05-13,41489.0
1992-05-16,41509.0
1992-05-17,41509.0
1992-05-18,41530.0
1992-05-19,41530.0
1992-05-27,41604.0
1992-05-31,41642.0
1992-12-04,43329.0
1992-12-05,43329.0
1992-12-06,43345.0
1992-12-07,43345.0
1992-12-20,43448.0
1992-12-21,43450.0
1992-12-22,43450.0
1992-12-23,43450.0
1992-12-24,43450.0
1992-12-28,43514.0
1992-12-29,43518.0
1992-12-30,43518.0
1992-12-31,43518.0
1993-01-04,43557.0
1993-01-05,43569.0
1993-01-06,43569.0
1993-01-07,43575.0
1993-01-08,43575.0
1993-01-09,43575.0
1993-01-10,43575.0
1993-01-11,43611.0
1993-01-12,43617.0
1993-01-13,43617.0
1993-01-14,43644.0
1993-01-15,43644.0
1993-01-16,43644.0
1993-01-25,43731.0
1993-01-26,43739.0
1993-01-30,43752.0
1993-01-31,43775.0
1993-02-01,43775.0
1993-02-03,43781.0
1993-02-04,43781.0
1993-02-05,43781.0
1993-02-06,43781.0
1993-02-07,43781.0
1993-02-08,43781.0
1993-02-13,43880.0
1993-02-14,43880.0
1993-02-15,43880.0
1993-02-18,43913.0
1993-02-19,43913.0
1993-02-20,43913.0
1993-02-21,43920.0
1993-02-22,43920.0
1993-02-24,43950.0
1993-02-25,43950.0
1993-02-26,43950.0
1993-03-06,44006.0
1993-03-07,44006.0
1993-03-08,44006.0
1993-03-09,44006.0
1993-03-10,44006.0
1993-03-11,44006.0
1993-03-12,44006.0
1993-03-13,44071.0
1993-03-19,44114.0
1993-03-20,44114.0
1993-03-21,44114.0
1993-03-22,44114.0
1993-03-23,44114.0
1993-03-24,44152.0
1993-03-25,44155.0
1993-03-26,44169.0
1993-03-27,44169.0
1993-04-09,44271.0
1993-04-10,44271.0
1993-04-11,44285.0
1993-04-12,44296.0
1993-04-13,44296.0
1993-04-15,44311.0
1993-04-16,44311.0
1993-04-23,44339.0
1993-04-24,44388.0
1993-04-26,44393.0
1993-04-27,44393.0
1993-04-28,44393.0
1993-04-29,44416.0
1993-04-30,44431.0
1993-05-01,44431.0
1993-05-04,44462.0
1993-05-05,44469.0
1993-05-06,44482.0
1993-05-07,44482.0
1993-05-08,44482.0
1993-05-09,44509.0
1993-05-10,44516.0
1993-05-11,44516.0
1993-05-12,44507.0
1993-05-14,44542.0
1993-05-17,44564.0
1993-05-21,44589.0
1993-05-22,44589.0
1993-05-23,44620.0
1993-05-24,44620.0
1993-05-29,44669.0
1993-05-30,44676.0
1993-05-31,44676.0
1993-12-05,46311.0
1993-12-06,46311.0
1993-12-07,46309.0
1993-12-08,46344.0
1993-12-20,46445.0
1994-01-03,46522.0
1994-01-04,46522.0
1994-01-05,46522.0
1994-01-11,46611.0
1994-01-12,46611.0
1994-01-13,46611.0
1994-01-14,46635.0
1994-01-15,46635.0
1994-01-16,46635.0
1994-01-17,46651.0
1994-01-23,46697.0
1994-01-24,46703.0
1994-01-25,46703.0
1994-01-26,46703.0
1994-01-27,46703.0
1994-01-29,46750.0
1994-01-30,46757.0
1994-01-31,46757.0
1994-02-01,46762.0
1994-02-02,46785.0
1994-02-03,46797.0
1994-02-04,46804.0
1994-02-07,46835.0
1994-02-08,46835.0
1994-02-09,46835.0
1994-02-10,46835.0
1994-02-19,46925.0
1994-02-20,46925.0
1994-02-21,46925.0
1994-02-22,46925.0
1994-02-25,46977.0
1994-03-01,47003.0
1994-03-02,47006.0
1994-03-03,47006.0
1994-03-08,47036.0
1994-03-10,47045.0
1994-03-11,47072.0
1994-03-12,47074.0
1994-03-13,47074.0
1994-03-14,47087.0
1994-03-15,47087.0
1994-03-16,47097.0
1994-03-17,47097.0
1994-03-19,47128.0
1994-03-21,47146.0
1994-03-23,47167.0
1994-03-24,47177.0
1994-03-25,47190.0
1994-03-26,47204.0
1994-03-27,47190.0
1994-03-28,47190.0
1994-03-29,47190.0
1994-04-01,47251.0
1994-04-02,47242.0
1994-04-03,47242.0
1994-04-04,47242.0
1994-04-05,47242.0
1994-04-08,47302.0
1994-04-10,47313.0
1994-04-17,47368.0
1994-04-18,47376.0
1994-04-23,47424.0
1994-05-02,47499.0
1994-05-03,47503.0
1994-05-05,47501.0
1994-05-06,47501.0
1994-05-08,47548.0
1994-05-11,47566.0
1994-05-12,47569.0
1994-12-01,49338.0
1994-12-02,49338.0
1994-12-04,49372.0
1994-12-05,49372.0
