,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,freeze,prec
129,34384.0,3.0,1990-01-26 00:00:00,1990-01-27 12:00:00,36.0,,,,108.05385648534704,246.54796241481756 degree,-41.218132,8.9599609375
130,34388.0,1.0,1990-01-25 06:00:00,1990-01-25 12:00:00,6.0,,,,129.8003632904299,246.44706866728475 degree,618.80884,11.24658203125
131,34412.0,1.0,1990-01-29 00:00:00,1990-01-29 06:00:00,6.0,,,,164.49952164932205,275.58344275768 degree,-299.5166,1.940185546875
132,34412.0,2.0,1990-01-28 12:00:00,1990-01-29 00:00:00,12.0,,,,25.541025771026423,147.41103862400465 degree,-677.5075,
133,34426.0,1.0,1990-01-29 06:00:00,1990-01-29 12:00:00,6.0,,,,164.49952164932205,275.58344275768 degree,-263.52878,1.940185546875
134,34436.0,1.0,1990-01-30 12:00:00,1990-01-30 18:00:00,6.0,,,,67.16808914313984,246.89882919506314 degree,-35.946598,1.570068359375
135,34467.0,1.0,1990-02-07 00:00:00,1990-02-07 18:00:00,18.0,,,,226.82082377299253,187.60423932098269 degree,-193.34286,56.554443359375
136,34467.0,2.0,1990-02-04 00:00:00,1990-02-07 00:00:00,72.0,,,,218.15692342406433,227.75506371663673 degree,-617.66394,54.9490966796875
137,34507.0,1.0,1990-02-11 00:00:00,1990-02-12 18:00:00,42.0,,,,160.30067246549063,229.91935762378418 degree,-30.597189,40.588623046875
138,34507.0,2.0,1990-02-10 18:00:00,1990-02-11 00:00:00,6.0,,,,116.12512996452759,210.57545902010318 degree,249.38972,
139,34641.0,1.0,1990-02-26 06:00:00,1990-02-26 12:00:00,6.0,,,,128.13197141938844,195.32712819280601 degree,-486.2591,20.61083984375
140,37160.0,1.0,1990-12-19 00:00:00,1990-12-19 06:00:00,6.0,,,,31.95999035581925,313.4361997739846 degree,275.8479,
141,37160.0,3.0,1990-12-17 18:00:00,1990-12-19 00:00:00,30.0,,,,524.0581157097118,229.52658984851857 degree,253.29106,31.59912109375
142,37175.0,1.0,1990-12-19 12:00:00,1990-12-19 18:00:00,6.0,,,,25.905101241211785,221.76393996873958 degree,372.25742,
143,37189.0,1.0,1990-12-22 00:00:00,1990-12-23 00:00:00,24.0,,,,101.26042537229296,239.2492935784197 degree,219.21005,4.803955078125
144,37189.0,2.0,1990-12-21 18:00:00,1990-12-22 00:00:00,6.0,,,,108.73354058170224,221.90125118886132 degree,79.30987,2.7615966796875
145,37230.0,1.0,1990-12-26 00:00:00,1990-12-29 00:00:00,72.0,,,,456.1168870652147,185.563658703901 degree,-412.9985,274.049560546875
