,date,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,prec,ivt,ivtdir,western_low,western_high,northwestern_low,northwestern_high,eastern_low,eastern_high,western_freeze,northwestern_freeze,eastern_freeze
585,2000-01-06,65223.0,2.0,2000-01-06 06:00:00,2000-01-07 12:00:00,30.0,,,,18.3453369140625,162.3703109062466,267.6334699970404 degree,-169.82018229980577,538.8515671125107,-116.2264544020613,636.5999776774783,-104.17912383547991,,1,1,-1
586,2000-01-08,65252.0,2.0,2000-01-08 06:00:00,2000-01-08 12:00:00,6.0,,,,10.227386474609375,154.14365255592986,221.78554204848498 degree,-175.6480569878871,247.26703224744097,-688.4666851174409,,-177.34947163821317,,-1,-1,-1
587,2000-01-17,65315.0,2.0,2000-01-17 00:00:00,2000-01-18 18:00:00,42.0,,,,23.0496826171875,178.77269520930363,227.76933555560467 degree,-263.4086531423802,,-239.40508862089337,134.40310647528167,-207.0926287441962,,-1,-1,-1
588,2000-01-19,65344.0,2.0,2000-01-19 00:00:00,2000-01-19 12:00:00,12.0,,,,12.869140625,82.93079513403855,236.72626102344495 degree,-198.74090505292372,,-331.0252079181027,,-180.67755468928658,,-1,-1,-1
589,2000-01-19,65356.0,2.0,2000-01-19 18:00:00,2000-01-20 00:00:00,6.0,,,,,14.686478225300851,227.8093409131793 degree,-198.74090505292372,,-331.0252079181027,,-180.67755468928658,,-1,-1,-1
590,2000-01-20,65356.0,3.0,2000-01-20 06:00:00,2000-01-20 12:00:00,6.0,,,,1.8876953125,194.77255601826167,231.1949496966266 degree,-225.06686015062724,,-253.11368033348896,,-533.2753997589283,,-1,-1,-1
591,2000-02-14,65547.0,2.0,2000-02-14 12:00:00,2000-02-14 18:00:00,6.0,,,,,53.767823681785025,229.3699376205134 degree,-280.33176345480075,,-153.69623610625194,607.9819110888637,-176.32561230562015,346.7565699146168,-1,1,-1
592,2000-02-28,65671.0,2.0,2000-02-28 00:00:00,2000-02-28 12:00:00,12.0,,,,1.8299560546875,108.70772637812318,252.5188188026212 degree,-245.49997187379788,,-341.7398815770715,,-771.8586064425062,,-1,-1,-1
593,2000-12-01,68002.0,2.0,2000-12-01 12:00:00,2000-12-02 12:00:00,24.0,,,,17.372314453125,258.82876729916177,244.81288885748924 degree,-408.6826713419004,,-210.9306537610867,,-584.3683626585905,,-1,-1,-1
594,2000-12-10,68056.0,2.0,2000-12-10 00:00:00,2000-12-12 06:00:00,54.0,,,,5.67010498046875,75.91536232674368,268.5761551824885 degree,-217.54121283049608,,-753.7626703637006,,-487.09280889356376,,-1,-1,-1
595,2001-01-24,68407.0,2.0,2001-01-24 06:00:00,2001-01-24 12:00:00,6.0,,,,1.5054931640625,71.79789948450063,245.34478223344092 degree,,,-692.7230890372075,,-616.8802574387701,864.9276294811227,0,-1,-1
596,2001-12-02,71164.0,2.0,2001-12-02 00:00:00,2001-12-02 12:00:00,12.0,,,,9.956329345703125,156.09406894951528,245.21992233647615 degree,-140.2383240211384,443.3585039584605,-536.3446941192545,,,511.7466627376243,1,-1,1
597,2001-12-05,71183.0,2.0,2001-12-05 12:00:00,2001-12-06 18:00:00,30.0,,,,30.741302490234375,262.8369240273852,248.7053199145038 degree,-110.40676831326232,519.3433383627086,-188.455632391043,,-186.39949304242836,364.60208934348395,1,-1,1
598,2001-12-07,71212.0,2.0,2001-12-07 12:00:00,2001-12-07 18:00:00,6.0,,,,6.36981201171875,102.21153196753217,259.81098535498836 degree,-138.76676218898,459.8697401804667,-385.55443050536394,,-161.35617722717268,,1,-1,-1
599,2001-12-12,71266.0,2.0,2001-12-12 12:00:00,2001-12-13 18:00:00,30.0,,,,23.579803466796875,155.1728524325894,244.25827445841722 degree,-331.4457050125993,,,,-99.05022523984633,351.8133912010156,-1,0,1
600,2001-12-20,71306.0,2.0,2001-12-20 18:00:00,2001-12-22 00:00:00,30.0,,,,20.194580078125,237.46493668475526,229.59771179400377 degree,,677.4878302164227,,740.9978338345783,-155.4895363756353,,1,1,-1
601,2001-12-22,71306.0,3.0,2001-12-22 00:00:00,2001-12-22 06:00:00,6.0,,,,,84.28405419393829,108.47427680256642 degree,,780.751341945854,-711.1224779764118,,-144.48985008139348,429.80514570291837,1,-1,1
602,2002-01-08,71473.0,2.0,2002-01-08 18:00:00,2002-01-09 18:00:00,24.0,,,,15.3214111328125,230.17450004575653,216.3691935467675 degree,-116.2817424673076,606.4277757748823,,1028.4690046342507,-624.2397440390534,,1,1,-1
603,2002-01-30,71706.0,2.0,2002-01-30 12:00:00,2002-01-30 18:00:00,6.0,,,,2.7110595703125,52.370245080063135,220.73813109914363 degree,-234.32457975586607,,-252.53901019693154,595.7382624261231,-768.4298044030566,,-1,-1,-1
604,2002-02-12,71807.0,2.0,2002-02-12 06:00:00,2002-02-12 12:00:00,6.0,,,,1.9609375,48.65420138028908,228.96241429156018 degree,-336.96771472387087,,-357.9575864115409,,-125.18054296269099,520.9533574632236,-1,-1,1
605,2002-02-25,71907.0,2.0,2002-02-25 12:00:00,2002-02-25 18:00:00,6.0,,,,5.0654296875,98.2573774569935,220.39398828291905 degree,-382.44743053281985,,-316.96866123184867,,-128.98196355766723,453.21749070864433,-1,-1,1
606,2002-02-25,71913.0,2.0,2002-02-25 18:00:00,2002-02-26 12:00:00,18.0,,,,15.35546875,141.4019173159738,220.14239724123644 degree,-382.44743053281985,,-316.96866123184867,,-128.98196355766723,453.21749070864433,-1,-1,1
607,2002-02-26,71921.0,2.0,2002-02-26 12:00:00,2002-02-26 18:00:00,6.0,,,,7.02423095703125,121.29953268323686,232.64198427160372 degree,-347.2671681974395,,-244.86271266329544,,-242.3410180568411,,-1,-1,-1
608,2002-12-09,74447.0,2.0,2002-12-09 12:00:00,2002-12-14 12:00:00,120.0,,,,102.298095703125,318.3832048183268,229.4860118248254 degree,-200.5174419587429,542.2433166270637,,562.0959242203619,-123.7611879256078,87.30912119712866,1,1,-1
609,2002-12-17,74515.0,2.0,2002-12-17 12:00:00,2002-12-17 18:00:00,6.0,,,,4.447998046875,84.93404943251198,235.3905114718139 degree,,,-500.107948541746,,-383.0009901844733,,0,-1,-1
610,2003-01-16,74752.0,2.0,2003-01-16 06:00:00,2003-01-16 12:00:00,6.0,,,,2.84619140625,145.49132071995956,240.46918649961376 degree,-91.68046343960964,728.7322453947471,-105.35042645031093,713.3994144216372,-138.42515412105604,403.9718175841117,1,1,1
611,2003-01-29,74832.0,2.0,2003-01-29 00:00:00,2003-01-30 00:00:00,24.0,,,,31.62872314453125,218.17363790355157,239.77849013263094 degree,-361.9122022441194,,-253.1086773677268,368.57187782030314,-282.6928949760242,,-1,-1,-1
612,2003-02-05,74873.0,2.0,2003-02-05 18:00:00,2003-02-06 00:00:00,6.0,,,,11.3258056640625,185.0011583822436,207.95748140443519 degree,,810.8501517917247,,861.0548552080537,-392.07742800331874,,1,1,-1
613,2003-02-06,74873.0,3.0,2003-02-06 00:00:00,2003-02-06 06:00:00,6.0,,,,8.56689453125,297.148518483394,235.41785326110593 degree,-188.82078143825902,559.1051231817827,-211.75507132920802,395.93198967443595,-564.0461104813032,210.2742860022754,1,-1,-1
614,2003-02-13,74963.0,2.0,2003-02-13 18:00:00,2003-02-14 12:00:00,18.0,,,,5.2640380859375,116.86415952908264,240.25697731749574 degree,-259.0506674802708,,-844.8210596666568,,-546.6386781011331,,-1,-1,-1
615,2003-02-20,75014.0,2.0,2003-02-20 06:00:00,2003-02-20 12:00:00,6.0,,,,4.381591796875,104.16885308967191,222.45968170496036 degree,-485.5786119509192,,-308.41250001867627,,-219.06364943217795,,-1,-1,-1
616,2003-02-21,75023.0,2.0,2003-02-21 12:00:00,2003-02-22 12:00:00,24.0,,,,29.6546630859375,304.76874241655355,254.84514459972485 degree,-235.18197494474418,,-324.24939102309537,188.41280426850335,-494.3393136170474,,-1,-1,-1
617,2003-02-24,75047.0,2.0,2003-02-24 12:00:00,2003-02-25 00:00:00,12.0,,,,25.13568115234375,150.5554952481662,249.95105065098426 degree,-329.75242434106855,,-523.11840136407,,-190.0680504257881,,-1,-1,-1
618,2003-12-03,77571.0,2.0,2003-12-03 06:00:00,2003-12-03 12:00:00,6.0,,,,,40.620617098893206,257.10366339793404 degree,-145.28318425909538,,-482.22838689692037,,-150.20308049609548,,-1,-1,-1
619,2003-12-04,77581.0,2.0,2003-12-04 12:00:00,2003-12-05 00:00:00,12.0,,,,8.9561767578125,80.35321375534569,239.02900984728407 degree,-165.26931785162682,,-391.0426378163684,,-446.3998647214265,,-1,-1,-1
620,2003-12-05,77590.0,2.0,2003-12-05 12:00:00,2003-12-05 18:00:00,6.0,,,,8.17376708984375,114.63372188474305,244.68522600521126 degree,-184.3644009544755,,-438.4303216309751,,-286.5973867942737,,-1,-1,-1
621,2003-12-28,77720.0,2.0,2003-12-28 06:00:00,2003-12-29 00:00:00,18.0,,,,17.12554931640625,181.0689110724638,246.15423856968087 degree,-360.046470605583,,-251.93221354534916,,-700.0374117645255,,-1,-1,-1
622,2004-01-07,77809.0,2.0,2004-01-07 18:00:00,2004-01-09 18:00:00,48.0,,,,27.14837646484375,297.2956403529869,254.8125298769854 degree,-267.40636655539714,,,,-491.9823082604215,,-1,0,-1
623,2004-01-10,77854.0,2.0,2004-01-10 18:00:00,2004-01-11 12:00:00,18.0,,,,28.581787109375,236.25245330918406,249.0728534331956 degree,-100.44605113422313,638.6898430054894,-124.65168973980853,676.1363389502343,-109.71734692982794,306.67776784320165,1,1,1
624,2004-02-02,78037.0,2.0,2004-02-02 18:00:00,2004-02-03 00:00:00,6.0,,,,,25.029876030940223,261.4702471232609 degree,-430.77746101716997,,-365.3343282276903,,-586.9573396120861,,-1,-1,-1
625,2004-02-14,78124.0,2.0,2004-02-14 12:00:00,2004-02-17 00:00:00,60.0,,,,27.3126220703125,310.6398051951845,235.20742904058085 degree,-190.24442145044233,545.0882285273472,-147.65780415963764,642.727107058379,-447.83696895902904,,1,1,-1
626,2004-12-11,80843.0,2.0,2004-12-11 18:00:00,2004-12-12 06:00:00,12.0,,,,9.759765625,145.37124155298773,203.9346825868762 degree,,670.7160469179162,,590.5029570040963,-124.20471319857043,558.3977580772741,1,1,1
627,2005-01-04,81038.0,2.0,2005-01-04 06:00:00,2005-01-04 12:00:00,6.0,,,,4.768798828125,129.0561111881017,234.6895134506242 degree,-234.3274548662914,,-256.3517014757152,,-233.27799562724613,662.4652509301552,-1,-1,1
628,2005-01-07,81055.0,2.0,2005-01-07 06:00:00,2005-01-07 12:00:00,6.0,,,,5.82745361328125,163.63123935670433,226.30057631298348 degree,-172.06022066069863,,-212.9965510989905,,-145.5925703867289,129.35046493419577,-1,-1,-1
629,2005-01-18,81168.0,2.0,2005-01-18 12:00:00,2005-01-18 18:00:00,6.0,,,,,9.838537900164509,284.5561007950921 degree,-498.38039595370634,,-612.7982144361491,,-626.851353166322,,-1,-1,-1
630,2005-12-24,84291.0,2.0,2005-12-24 00:00:00,2005-12-24 18:00:00,18.0,,,,3.756103515625,165.3031997997224,225.81803069784763 degree,,374.8438505418576,,635.2335535256615,-207.61981834596585,,1,1,-1
